Year,Class,Event,Name,School,Mark,Tie
1909,Open,100yd Dash,"Malone, Gurby",Monticello,10.8,
1909,Open,120yd Low Hurdles,"Weeks,",10th District,20,
1909,Open,220yd Dash,"Abbott,",Louisville,26.2,
1909,Open,440yd Dash,"Malone, Gurby",Monticello,1:01,
1909,Open,High Jump,"Ledbetter,",7th District,,
1909,Open,Long Jump,"Colley,",Washington,18,
1909,Open,Pole Vault,"Ledbetter,",7th District,,
1909,Open,Relay,,8th District,52,
1909,Open,Shot Put,"Colley,",Washington,36-2,
1910,Open,100yd Dash,"Scott, Harry",Griffin,11,
1910,Open,120yd Low Hurdles,"Vonderau, Malcom",Athens,16,
1910,Open,220yd Dash,"Malone, Kirby",Monticello,22.4,
1910,Open,440yd Dash,,,,
1910,Open,High Jump,"Danford, E.C.B.",Augusta,3-May,
1910,Open,Long Jump,"Cheney, Frank",Athens,18-7.5,
1910,Open,Relay--440yd,,Athens,34.5,
1910,Open,Shot Put,"Haselton, Fred",Athens,36-7.5,
1910,Open,Standing High Jump,"Barlow, Wm.",Cochran,10-Mar,
1910,Open,Standing Long Jump,"Malone, Kirby",Monticello,5-Sep,
1911,Open,100yd Dash,"Wood,",Locust Grove,11,
1911,Open,120yd Low Hurdles,"Crump,",Macon,18.2,
1911,Open,220yd Dash,"McWhorter,",Blackshear,"""no time taken""",
1911,Open,440yd Dash,"Clary,",Thompson,55.4,
1911,Open,High Jump,"Gilbert,",Tennille,4-May,
1911,Open,Long Jump,"Shaw,",Cartersville,16-7,
1911,Open,Relay--Half Mile,,Rockmart,,
1911,Open,Shot Put,"Smith,",Elberton,37-3.5,
1912,Open,100yd Dash,"Simpson,",Toccoa,11.2,
1912,Open,120yd Low Hurdles,"Thompson,",8th District,16.5,
1912,Open,220yd Dash,"Cochran,",6th District,27,
1912,Open,440yd Dash,"Simpson,",Toccoa,40,
1912,Open,High Jump,"Simpson,",Toccoa,8-May,
1912,Open,Long Jump,"Rumel,",6th District,18-1,
1912,Open,Relay--Half Mile,,6th District,52,
1912,Open,Shot Put,"Cates,",,34-10,
1913,Open,100yd Dash,"Mobley, H.T.",Thompson,10.4,
1913,Open,120yd Low Hurdles,"Moon,",Baxley,17.6,
1913,Open,220yd Dash,"Mobley, H.T.",Thompson,25.6,
1913,Open,440yd Dash,"Ryman,",Fitzgerald,56.2,
1913,Open,High Jump,"Johnson,",8th District,3-May,
1913,Open,Long Jump,"Phillips,",Cuthbert,19-1,
1913,Open,Relay--Half Mile,,8th District,,
1913,Open,Shot Put,"Chapman,",4th District,35-7.5,
1914,Open,100yd Dash,"Callaway, T.C.",10th District,12,
1914,Open,120yd Low Hurdles,"Swann, A.J.",Milledgeville,16.4,
1914,Open,220yd Dash,"Bradford, P.R.",Milledgeville,25.5,Tie
1914,Open,220yd Dash,"Ryman, G.",Fitzgerald,25.5,Tie
1914,Open,440yd Dash,"Mobley, H.T.",Thompson,,
1914,Open,High Jump,"McDonald, S.",Fitzgerald,4-May,
1914,Open,Long Jump,"Day, S.P.",Macon,18-7,
1914,Open,Relay--Half Mile,,10th District,,
1914,Open,Shot Put,"Sikes,",Statham,38-1,
1915,Open,100yd Dash,"Williams, Clyde",Quitman,11,
1915,Open,120yd Low Hurdles,"English,",Warrenton,17,
1915,Open,220yd Dash,"Chambers,",5th District,24.4,
1915,Open,440yd Dash,"Mauck,",Milledgeville,58.1,
1915,Open,High Jump,"Hollingsworth, L.",Dalton,3-May,
1915,Open,Long Jump,"Williams, Clyde",Quitman,18-8,Tie
1915,Open,Long Jump,"Hardeman,",10th District,18-8,Tie
1915,Open,Relay--Half Mile,,8th District,,
1915,Open,Shot Put,"Goldstein,",Griffin,36-9,
1916,Open,100yd Dash,"Barge,",Newnan,10.6,
1916,Open,120yd Low Hurdles,"DeBeugrine,",Warrenton,15,
1916,Open,220yd Dash,"Murphy,",Newnan,24.4,
1916,Open,440yd Dash,"Ensel, Gustave",Savannah,56.4,
1916,Open,High Jump,"Ellis,",Milledgeville,8-May,
1916,Open,Long Jump,"Scarborough,",Moultrie,20-3,
1916,Open,Relay--Half Mile,,Newnan,01:45.2,
1916,Open,Shot Put,"Davis, Charles",Rome,40-9,
1917,Open,100yd Dash,"Hartley, Hugh",Ft. Valley,10.2,
1917,Open,120yd Low Hurdles,"Willis, Frank",Tifton,,
1917,Open,220yd Dash,"Scott, Jules",Thomasville,24.6,Tie
1917,Open,220yd Dash,"Hartley, Hugh",Ft. Valley,24.6,Tie
1917,Open,440yd Dash,"Williams, George",Tifton,58.4,
1917,Open,High Jump,"Rigsby,",Augusta,9-May,
1917,Open,Long Jump,"Barwick,",Thompson,20-0,
1917,Open,Pole Vault,"Willis, Frank",Tifton,,
1917,Open,Relay--Half Mile,,7th District,01:44.2,
1917,Open,Shot Put,"Willis, Frank",Tifton,39-10.5,
